Metric,Control Rank,Treatment Rank,p-value,p-value-full,sig
Sharpe,1.0,2.0,0.0,2.16e-06,***
Sortino,1.0,2.0,0.0,2.737e-05,***
MaxDD,2.0,1.0,1.0,0.99999997,
% Positive Ret.,1.0,2.0,0.0,1.1e-07,***
