from,0,1,2,3,4,5
0,0.4782608695652174,0.21739130434782608,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.043478260869565216
1,0.03361344537815126,0.5546218487394958,0.06722689075630252,0.04201680672268908,0.11764705882352941,0.18487394957983194
2,0.016,0.096,0.704,0.16,0.008,0.016
3,0.028037383177570093,0.056074766355140186,0.19626168224299065,0.18691588785046728,0.3925233644859813,0.14018691588785046
4,0.010526315789473684,0.06842105263157895,0.010526315789473684,0.24210526315789474,0.3894736842105263,0.2789473684210526
5,0.0051813471502590676,0.08808290155440414,0.02072538860103627,0.07253886010362694,0.3005181347150259,0.5129533678756477
