date,strategy_return,predicted_regime,position_method,top_l,forecast_method,n_same_regime_obs,long_etfs,short_etfs,gross_exposure,net_exposure
2009-01-01,0.10064026589433304,0,lo,2,regime_conditioned,107,"XLE,XLU",,1.0,1.0
2009-02-01,-0.05433394957250793,0,lo,2,regime_conditioned,108,"XLE,XLU",,1.0,1.0
2009-03-01,-0.16714669095286827,0,lo,2,regime_conditioned,109,"XLE,XLU",,1.0,1.0
2009-04-01,0.11045729702375841,0,lo,2,regime_conditioned,110,"XLE,XLU",,1.0,1.0
2009-05-01,0.0689368789012751,0,lo,2,regime_conditioned,111,"XLE,XLU",,0.9999999999999999,0.9999999999999999
2009-06-01,0.09898508871118425,0,lo,2,regime_conditioned,112,"XLE,XLU",,1.0,1.0
2009-07-01,-0.04879072631565512,0,lo,2,regime_conditioned,113,"XLE,XLU",,1.0,1.0
2009-08-01,0.0610807244510035,0,lo,2,regime_conditioned,114,"XLE,XLU",,1.0,1.0
2009-09-01,-0.021814877322031707,0,lo,2,regime_conditioned,115,"XLE,XLU",,1.0,1.0
2009-10-01,0.02730440129663469,0,lo,2,regime_conditioned,116,"XLE,XLU",,1.0,1.0
2009-11-01,0.03111463982426379,0,lo,2,regime_conditioned,117,"XLE,XLU",,1.0,1.0
2009-12-01,0.04877229608783419,0,lo,2,regime_conditioned,118,"XLE,XLU",,1.0,1.0
2010-01-01,0.03125092507275175,0,lo,2,regime_conditioned,119,"XLE,XLU",,1.0,1.0
2010-02-01,-0.0431318520912652,0,lo,2,regime_conditioned,120,"XLE,XLU",,1.0,1.0
2010-03-01,0.0015771840095406505,0,lo,2,regime_conditioned,121,"XLE,XLU",,1.0,1.0
2010-04-01,0.03690943192911268,0,lo,2,regime_conditioned,122,"XLE,XLP",,1.0,1.0
2010-05-01,0.015597608592495659,0,lo,2,regime_conditioned,123,"XLE,XLP",,1.0,1.0
2010-06-01,-0.13420554272971344,0,lo,2,regime_conditioned,124,"XLE,XLU",,1.0,1.0
2010-07-01,-0.01810113695531191,0,lo,2,regime_conditioned,125,"XLE,XLP",,1.0,1.0
2010-08-01,0.11573506232237155,0,lo,2,regime_conditioned,126,"XLE,XLU",,1.0,1.0
2010-09-01,-0.01976314946083059,0,lo,2,regime_conditioned,127,"XLE,XLU",,1.0,1.0
2010-10-01,0.04661218549961446,0,lo,2,regime_conditioned,128,"XLE,XLU",,1.0,1.0
2010-11-01,0.022647258603610085,0,lo,2,regime_conditioned,129,"XLE,XLU",,1.0,1.0
2010-12-01,0.0524152172666023,0,lo,2,regime_conditioned,130,"XLE,XLP",,1.0,1.0
2011-01-01,0.05251967449120723,0,lo,2,regime_conditioned,131,"XLE,XLP",,1.0,1.0
2011-02-01,0.04343244904639964,0,lo,2,regime_conditioned,132,"XLE,XLP",,1.0,1.0
2011-03-01,0.01874524835600749,0,lo,2,regime_conditioned,133,"XLE,XLU",,1.0,1.0
2011-04-01,0.03496766850060203,0,lo,2,regime_conditioned,134,"XLE,XLP",,1.0,1.0
2011-05-01,0.015879411591784395,0,lo,2,regime_conditioned,135,"XLE,XLP",,1.0,1.0
2011-06-01,-0.02423300265113685,0,lo,2,regime_conditioned,136,"XLE,XLP",,1.0,1.0
2011-07-01,0.003979527918230066,0,lo,2,regime_conditioned,137,"XLE,XLP",,1.0,1.0
2011-08-01,-0.008271057373200313,0,lo,2,regime_conditioned,138,"XLE,XLP",,1.0,1.0
2011-09-01,-0.06116706961845337,0,lo,2,regime_conditioned,139,"XLE,XLP",,0.9999999999999999,0.9999999999999999
2011-10-01,-0.11207773442410043,0,lo,2,regime_conditioned,140,"XLE,XLP",,1.0,1.0
2011-11-01,0.12080335257365926,0,lo,2,regime_conditioned,141,"XLE,XLU",,0.9999999999999999,0.9999999999999999
2011-12-01,0.03758027515566498,0,lo,2,regime_conditioned,142,"XLE,XLU",,1.0,1.0
2012-01-01,0.01969579130782463,0,lo,2,regime_conditioned,143,"XLE,XLP",,1.0,1.0
2012-02-01,-0.003474303627628152,0,lo,2,regime_conditioned,144,"XLE,XLP",,1.0,1.0
2012-03-01,0.04818841286722285,0,lo,2,regime_conditioned,145,"XLE,XLP",,0.9999999999999999,0.9999999999999999
2012-04-01,-0.001431990972267344,0,lo,2,regime_conditioned,146,"XLE,XLP",,1.0,1.0
2012-05-01,-0.002480376588359042,0,lo,2,regime_conditioned,147,"XLE,XLP",,1.0,1.0
2012-06-01,-0.08876957805524041,0,lo,2,regime_conditioned,148,"XLE,XLP",,1.0,1.0
2012-07-01,0.06866324295158963,0,lo,2,regime_conditioned,149,"XLE,XLP",,1.0,1.0
2012-08-01,0.033700939840588036,0,lo,2,regime_conditioned,150,"XLP,XLE",,1.0,1.0
2012-09-01,0.010170391669091181,0,lo,2,regime_conditioned,151,"XLP,XLE",,1.0,1.0
2012-10-01,0.031221016366747113,0,lo,2,regime_conditioned,152,"XLP,XLE",,1.0,1.0
2012-11-01,-0.019517637297131647,0,lo,2,regime_conditioned,153,"XLE,XLP",,1.0,1.0
2012-12-01,-0.00414090108849558,0,lo,2,regime_conditioned,154,"XLE,XLP",,1.0,1.0
2013-01-01,0.023191294681646227,0,lo,2,regime_conditioned,155,"XLP,XLE",,1.0,1.0
2013-02-01,0.053831796695722724,0,lo,2,regime_conditioned,156,"XLP,XLE",,0.9999999999999999,0.9999999999999999
2013-03-01,0.01237763174087838,0,lo,2,regime_conditioned,157,"XLP,XLE",,1.0,1.0
2013-04-01,0.033829687060116645,0,lo,2,regime_conditioned,158,"XLP,XLE",,1.0,1.0
2013-05-01,0.0021799661691590897,0,lo,2,regime_conditioned,159,"XLP,XLE",,1.0,1.0
2013-06-01,0.020554557371757053,0,lo,2,regime_conditioned,160,"XLP,XLE",,1.0,1.0
2013-07-01,-0.015543428863758733,0,lo,2,regime_conditioned,161,"XLP,XLE",,0.9999999999999999,0.9999999999999999
2013-08-01,0.052847618031967254,0,lo,2,regime_conditioned,162,"XLP,XLE",,1.0,1.0
2013-09-01,-0.037234965538035264,0,lo,2,regime_conditioned,163,"XLP,XLE",,1.0,1.0
2013-10-01,0.020386221690053496,0,lo,2,regime_conditioned,164,"XLP,XLE",,1.0,1.0
2013-11-01,0.047017757187460166,0,lo,2,regime_conditioned,165,"XLP,XLE",,1.0,1.0
2013-12-01,0.005645814998146667,0,lo,2,regime_conditioned,166,"XLP,XLE",,1.0,1.0
2014-01-01,0.0063037877202183805,0,lo,2,regime_conditioned,167,"XLP,XLE",,1.0,1.0
2014-02-01,-0.06096934144419518,0,lo,2,regime_conditioned,168,"XLP,XLE",,1.0,1.0
2014-03-01,0.05974702242863361,0,lo,2,regime_conditioned,169,"XLP,XLE",,1.0,1.0
2014-04-01,0.02967682797546134,0,lo,2,regime_conditioned,170,"XLP,XLE",,1.0,1.0
2014-05-01,0.03578754655541994,0,lo,2,regime_conditioned,171,"XLP,XLE",,1.0000000000000002,1.0000000000000002
2014-06-01,0.017110045730184868,0,lo,2,regime_conditioned,172,"XLP,XLE",,1.0,1.0
2014-07-01,0.028562619426198758,0,lo,2,regime_conditioned,173,"XLP,XLE",,1.0,1.0
2014-08-01,-0.035298732954581136,0,lo,2,regime_conditioned,174,"XLP,XLE",,1.0,1.0
2014-09-01,0.028131111228065324,0,lo,2,regime_conditioned,175,"XLP,XLE",,1.0,1.0
2014-10-01,-0.04129084696709984,0,lo,2,regime_conditioned,176,"XLP,XLE",,1.0,1.0
2014-11-01,0.009904490367637372,0,lo,2,regime_conditioned,177,"XLP,XLE",,1.0,1.0
2014-12-01,0.02712132635982422,0,lo,2,regime_conditioned,178,"XLP,XLU",,1.0,1.0
2015-01-01,0.014458507164236474,0,lo,2,regime_conditioned,179,"XLP,XLU",,0.9999999999999999,0.9999999999999999
2015-02-01,0.01335339687180953,0,lo,2,regime_conditioned,180,"XLP,XLU",,1.0,1.0
2015-03-01,-0.023808943467703708,0,lo,2,regime_conditioned,181,"XLP,XLU",,1.0,1.0
2015-04-01,-0.016695802499189918,0,lo,2,regime_conditioned,182,"XLP,XLV",,1.0,1.0
2015-05-01,0.00011284721104727892,0,lo,2,regime_conditioned,183,"XLP,XLU",,1.0,1.0
2015-06-01,0.015633120434595308,0,lo,2,regime_conditioned,184,"XLP,XLV",,1.0,1.0
2015-07-01,-0.0018621523071419054,0,lo,2,regime_conditioned,185,"XLP,XLV",,1.0,1.0
2015-08-01,0.03254303117666171,0,lo,2,regime_conditioned,186,"XLP,XLV",,1.0,1.0
2015-09-01,-0.09058117632371182,0,lo,2,regime_conditioned,187,"XLP,XLV",,1.0,1.0
2015-10-01,0.0038776630929770045,0,lo,2,regime_conditioned,188,"XLP,XLV",,1.0,1.0
2015-11-01,0.045566571587768785,0,lo,2,regime_conditioned,189,"XLP,XLU",,1.0,1.0
2015-12-01,-0.007119582275053802,0,lo,2,regime_conditioned,190,"XLP,XLV",,1.0,1.0
2016-01-01,-0.0036729749459575734,0,lo,2,regime_conditioned,191,"XLP,XLV",,1.0,1.0
2016-02-01,0.03935264176850253,0,lo,2,regime_conditioned,192,"XLP,XLU",,1.0,1.0
2016-03-01,0.00734259123383821,0,lo,2,regime_conditioned,193,"XLP,XLU",,1.0,1.0
2016-04-01,0.0667470478979219,0,lo,2,regime_conditioned,194,"XLP,XLU",,1.0,1.0
2016-05-01,-0.016454306036067297,0,lo,2,regime_conditioned,195,"XLP,XLU",,1.0,1.0
2016-06-01,0.0074681746321055365,0,lo,2,regime_conditioned,196,"XLP,XLU",,1.0,1.0
2016-07-01,0.054195801022717344,0,lo,2,regime_conditioned,197,"XLP,XLU",,1.0,1.0
2016-08-01,-0.0041706524707515935,0,lo,2,regime_conditioned,198,"XLP,XLU",,1.0,1.0
2016-09-01,-0.03146390671245744,0,lo,2,regime_conditioned,199,"XLP,XLU",,1.0,1.0
2016-10-01,-0.014652007434092833,0,lo,2,regime_conditioned,200,"XLP,XLU",,1.0,1.0
2016-11-01,-0.0009612764169180639,0,lo,2,regime_conditioned,201,"XLP,XLU",,1.0000000000000002,1.0000000000000002
2016-12-01,-0.04420915874645221,0,lo,2,regime_conditioned,202,"XLP,XLU",,1.0,1.0
2017-01-01,0.04699123137891949,0,lo,2,regime_conditioned,203,"XLP,XLU",,1.0,1.0
2017-02-01,0.001802498569647368,0,lo,2,regime_conditioned,204,"XLP,XLU",,0.9999999999999999,0.9999999999999999
2017-03-01,0.06126890484509005,0,lo,2,regime_conditioned,205,"XLP,XLU",,1.0,1.0
2017-04-01,-0.0023714430695539416,0,lo,2,regime_conditioned,206,"XLP,XLU",,1.0,1.0
2017-05-01,0.005574659129509758,0,lo,2,regime_conditioned,207,"XLP,XLU",,1.0,1.0
2017-06-01,0.04620995171519861,0,lo,2,regime_conditioned,208,"XLP,XLU",,1.0,1.0
2017-07-01,-0.03454307136915561,0,lo,2,regime_conditioned,209,"XLP,XLU",,0.9999999999999999,0.9999999999999999
2017-08-01,0.01960762335783003,0,lo,2,regime_conditioned,210,"XLP,XLU",,1.0,1.0
2017-09-01,0.008251542548201152,0,lo,2,regime_conditioned,211,"XLP,XLU",,1.0,1.0
2017-10-01,-0.017988383144216635,0,lo,2,regime_conditioned,212,"XLP,XLU",,1.0,1.0
2017-11-01,0.00851241109015936,0,lo,2,regime_conditioned,213,"XLP,XLU",,1.0,1.0
2017-12-01,0.04278772772809493,0,lo,2,regime_conditioned,214,"XLP,XLU",,0.9999999999999998,0.9999999999999998
2018-01-01,-0.023794932827280388,0,lo,2,regime_conditioned,215,"XLP,XLU",,1.0,1.0
2018-02-01,-0.007054432537866357,0,lo,2,regime_conditioned,216,"XLP,XLU",,1.0,1.0
2018-03-01,-0.06809672569714703,0,lo,2,regime_conditioned,217,"XLP,XLV",,1.0,1.0
2018-04-01,-0.003368683809035846,0,lo,2,regime_conditioned,218,"XLP,XLU",,0.9999999999999999,0.9999999999999999
2018-05-01,-0.0020375254452655728,0,lo,2,regime_conditioned,219,"XLP,XLU",,1.0,1.0
2018-06-01,-0.014704316352338898,0,lo,2,regime_conditioned,220,"XLP,XLU",,1.0,1.0
2018-07-01,0.045266606270037514,0,lo,2,regime_conditioned,221,"XLP,XLU",,1.0,1.0
2018-08-01,0.0204425668014525,0,lo,2,regime_conditioned,222,"XLP,XLU",,1.0,1.0
