date,GMM_Regime_0,GMM_Regime_1,GMM_Regime_2,GMM_Regime_3,GMM_Regime_4,GMM_Regime_5
1962-09-01,0.0,2.4963896366455595e-16,5.358435531723773e-06,0.9999946415644665,0.0,1.5766118268493448e-16
1962-10-01,0.0,1.793986062642548e-27,2.0559694006891365e-07,8.734198088102853e-05,0.0,0.9999124524221815
1962-11-01,0.0,8.5114385738941e-36,6.298942783945879e-12,0.9999999999937046,0.0,4.770996560984238e-23
1962-12-01,0.0,8.386802589309975e-41,2.5084746350584685e-10,0.003283756717059649,0.0,0.9967162430320909
1963-01-01,0.0,6.3028488177941805e-37,1.1699095303735802e-20,1.0,0.0,1.6563361539667043e-42
1963-02-01,0.0,1.3473958714831715e-63,5.684863252103927e-16,1.0,0.0,1.8334149149059933e-21
1963-03-01,0.0,5.1024670566932776e-23,1.470325365015539e-07,0.9999998529674664,0.0,4.0945787375465294e-16
1963-04-01,0.0,1.3699178221171677e-69,2.540886630358458e-20,1.0,0.0,1.4884611388937894e-37
1963-05-01,0.0,8.088066737068797e-46,3.1857136081886303e-18,1.0,0.0,2.9944632621931326e-22
1963-06-01,0.0,4.549256109704988e-44,5.671564042920962e-13,0.9999999999994316,0.0,1.830994427678889e-19
1963-07-01,0.0,2.569410856807155e-36,9.514006874505318e-09,0.9999999904859891,0.0,1.3902379319228716e-15
1963-08-01,0.0,9.94817312471503e-43,3.082473766579144e-17,1.0,0.0,1.907481394690931e-22
1963-09-01,0.0,1.4728294802592887e-49,8.479242182044308e-17,1.0,0.0,1.0098398161081739e-22
1963-10-01,0.0,3.533790488789254e-20,5.698602945163293e-11,0.9999999999430145,0.0,2.8031375276688243e-25
1963-11-01,0.0,5.06097282186181e-60,5.14547725464191e-06,0.9999948545227474,0.0,4.1055808465827015e-22
1963-12-01,0.0,1.1291683373690665e-38,3.382125107220685e-15,1.0,0.0,1.0010110019859033e-43
1964-01-01,0.0,9.231667119930736e-75,6.9228943770290614e-15,1.0,0.0,1.409278662500628e-22
1964-02-01,0.0,1.3661488526919668e-103,2.5772062882959207e-22,1.0,0.0,1.907903611587492e-57
1964-03-01,0.0,1.5766925082576005e-26,1.1127783362023859e-09,0.999999998887219,0.0,1.1178478377112384e-27
1964-04-01,0.0,3.210590518259142e-48,2.1117691791973468e-15,1.0,0.0,3.4319728669855384e-26
1964-05-01,0.0,6.716077190459447e-24,7.973446977500109e-10,0.9999999992026574,0.0,7.934063975477022e-20
1964-06-01,0.0,3.5303053956218436e-55,1.388727737937933e-15,1.0,0.0,1.3562202640236525e-38
