date,Regime_0,Regime_1,Regime_2,Regime_3,Regime_4,Regime_5
1959-12-01,0.14816024694279303,0.16948660485153272,0.17687228254247783,0.16640846998602143,0.17317758070694164,0.1658948149702334
1960-01-01,0.14859962408245045,0.16921520441711163,0.17662740557447648,0.16615000270646116,0.17357692918874817,0.1658308340307522
1960-02-01,0.16224429754578923,0.1675379065140757,0.16661505448965983,0.1736168243510494,0.16610204957754005,0.16388386752188575
1960-03-01,0.1885948412406043,0.1632112744975005,0.1575919366274947,0.1658295354804407,0.16401534605563872,0.1607570660983211
1960-04-01,0.16136734491107224,0.1672516228403782,0.16906425545371262,0.17212096804680918,0.1665401082040309,0.1636557005439968
1960-05-01,0.18335620770563532,0.16374129767411263,0.15835604055697838,0.1639003564464957,0.16535090609090952,0.16529519152586836
1960-06-01,0.2131662927325075,0.15853015973643664,0.15239181011777844,0.16132099191935587,0.15752394409206652,0.15706680140185517
1960-07-01,0.19713364779231835,0.16201438721475142,0.15658434965873594,0.1632788170713175,0.16178730192502336,0.15920149633785347
1960-08-01,0.18548614259751625,0.16388564731417754,0.15994567804323317,0.16656272190739602,0.16343661783200827,0.16068319230566883
1960-09-01,0.19436608843806097,0.16090484442119565,0.15826706712294303,0.16433749328883307,0.16137052941040048,0.16075397731856675
1960-10-01,0.18998890629406656,0.16532880656907928,0.15792321510139856,0.16367798702375017,0.1648457354356397,0.15823534957606566
1960-11-01,0.19854069551734915,0.16164025297850035,0.15514114234549287,0.16440730586747587,0.1597970435043511,0.1604735597868307
1960-12-01,0.19453550378367848,0.16313116342311354,0.15572400422520818,0.16358407992549198,0.1619929455845585,0.16103230305794927
1961-01-01,0.18226460212081294,0.1636453894814337,0.16112627468185453,0.1647382150140092,0.16496579895542804,0.16325971974646175
1961-02-01,0.19169791526462415,0.1642803323380008,0.15819643682587536,0.16209543990230132,0.16406879099270347,0.15966108467649484
1961-03-01,0.156706574310695,0.1660664618653317,0.17313463182903008,0.16892287339852682,0.16759165396552564,0.16757780463089084
1961-04-01,0.1651232022638271,0.16608142523273864,0.1677108582835513,0.1634943647459755,0.1712385468959504,0.16635160257795711
1961-05-01,0.14451932356025216,0.16998792804398072,0.1788158310515126,0.16906153805747964,0.17295320755076754,0.16466217173600725
1961-06-01,0.1387435003609383,0.16819241928070927,0.18168192031064748,0.17078869089015644,0.17176727777194253,0.16882619138560595
1961-07-01,0.1551588823588319,0.16993577396628887,0.16996309865641301,0.1698799950483178,0.17199791944620668,0.16306433052394173
1961-08-01,0.1388892369663861,0.16722483179137695,0.1813107895378115,0.1697886152976318,0.17080453524662928,0.17198199116016438
1961-09-01,0.17678560601506196,0.16563491450786597,0.16220566081801918,0.16881997842742644,0.1635619681253586,0.16299187210626787
1961-10-01,0.14306170584633024,0.1674269141149628,0.17913123856541077,0.1677819821254382,0.17315992469911637,0.16943823464874153
1961-11-01,0.1380976317802519,0.16817447356692977,0.1825908594605968,0.16927954570068376,0.173411010541772,0.16844647894976572
1961-12-01,0.14151280544566827,0.17172988661366714,0.1759671362712452,0.17040069300558447,0.1722556165940907,0.16813386206974415
1962-01-01,0.17884624768233928,0.1653757166070262,0.16094253711210535,0.16919736852950437,0.16391933834481615,0.16171879172420855
1962-02-01,0.1389892025363702,0.16918935847281583,0.18047884878117545,0.17258642969123192,0.172109662006108,0.16664649851229874
1962-03-01,0.14726355567347607,0.16800058559675607,0.17314342070257924,0.1709051061933747,0.1704230290840069,0.17026430274980708
1962-04-01,0.14142299460327715,0.16793871536139038,0.17556015725092147,0.1766400190234015,0.17017414148068338,0.1682639722803262
1962-05-01,0.16707798706569357,0.16607139334718607,0.16472498744829342,0.17028862266196024,0.16651388403686063,0.1653231254400061
1962-06-01,0.17735728743174167,0.16307734095913445,0.16095026875563678,0.16999253163136704,0.16368463019702778,0.16493794102509235
1962-07-01,0.1417005013644279,0.16997728511982105,0.17457981091808808,0.16969742691282186,0.1734971998077251,0.170547775877116
1962-08-01,0.16233483906543006,0.17029764225309896,0.16675514448435383,0.17188263317397534,0.16749585508170603,0.1612338859414357
1962-09-01,0.14095190780835717,0.17586893089727104,0.17385855895306848,0.17297540108945683,0.17278721439780914,0.16355798685403733
1962-10-01,0.17062345560900574,0.15852752066796127,0.1650152529789147,0.1684583803907624,0.16247530009100192,0.174900090262354
1962-11-01,0.15663893003195017,0.17291785205886614,0.16875433573175314,0.16847214884837047,0.16989190983682206,0.16332482349223815
1962-12-01,0.16751306341925587,0.1660223939017584,0.16508263412438548,0.16896360146405434,0.16503578032587043,0.16738252676467544
1963-01-01,0.14872964508695521,0.17210652274502314,0.17204281791531945,0.16995508150911273,0.17296778727238737,0.16419814547120204
1963-02-01,0.1420450943653322,0.16984866568350254,0.17556379548486348,0.17229991688192833,0.1717302686549799,0.1685122589293937
1963-03-01,0.13229815561697064,0.17009587998035913,0.17855969391171891,0.17602197700592856,0.17079625313535104,0.17222804034967176
1963-04-01,0.13419667912082658,0.16966100984663682,0.1803439041072816,0.1762379238652389,0.16998853387793225,0.16957194918208388
1963-05-01,0.15295140789554634,0.17205276832534527,0.16976796742110978,0.1690078127543998,0.1708108318127344,0.16540921179086443
1963-06-01,0.14630998987099042,0.17460902612515317,0.17033973482374115,0.1710564791885319,0.1703335896530189,0.16735118033856447
1963-07-01,0.1523885034233384,0.1675907958457488,0.16977680705108802,0.174792639890664,0.1669535279173946,0.16849772587176629
1963-08-01,0.14543642716388497,0.16958502548018853,0.17220130894951333,0.17369752963206808,0.16956674725287343,0.16951296152147183
1963-09-01,0.14163812445638244,0.16764172595556404,0.1745854394238036,0.17357449825845941,0.16954397515550473,0.17301623675028574
1963-10-01,0.12372373905742191,0.17691156975126593,0.18248631354936948,0.17854734423960744,0.17231516126523358,0.1660158721371017
1963-11-01,0.1622407434717527,0.16875584820522693,0.16503003402961894,0.17094380031814532,0.165823790450086,0.16720578352517013
1963-12-01,0.14485809972865618,0.17278983173407614,0.17205863913720293,0.17235973461139403,0.17101883406565832,0.16691486072301248
1964-01-01,0.1471290424464936,0.16772906868485737,0.17511311113205047,0.17272193317778023,0.16886665498105718,0.16844018957776116
1964-02-01,0.1345335694029546,0.16899135358454687,0.17809996575083392,0.17698161272329174,0.16858250080512777,0.17281099773324504
1964-03-01,0.15236162350062135,0.1703618743472602,0.16882574806875222,0.17532790377900562,0.1687445152032348,0.16437833510112584
1964-04-01,0.1432022545266967,0.16921144718812908,0.17697527350685513,0.16726101086630946,0.17266942289332135,0.1706805910186883
1964-05-01,0.13258518171943043,0.16983880279077035,0.18064115270042821,0.1760411730449472,0.17201019647399837,0.16888349327042548
1964-06-01,0.14990350873770644,0.17215236165492548,0.16991084460859726,0.17248850529804916,0.17014658923176657,0.16539819046895513
1964-07-01,0.1294868526248122,0.17024290701606737,0.18340869290771222,0.1730490304585946,0.17239515711204723,0.17141735988076645
1964-08-01,0.1412312888970749,0.16917047593044995,0.17407374162819714,0.1752615057269356,0.1707291910145788,0.1695337968027637
1964-09-01,0.13800798215882007,0.17068375552106982,0.1764739055875813,0.17607107037759107,0.171391892735053,0.16737139361988468
1964-10-01,0.1872152420826211,0.16356478238609085,0.1573959036136455,0.16785951674899782,0.16129981301864058,0.16266474215000412
1964-11-01,0.147265261872398,0.16722264775155063,0.1786687627013829,0.16641322853979051,0.1739615879803315,0.1664685111545464
1964-12-01,0.13909033058719414,0.16897320572566343,0.1810673010001768,0.16985071469628724,0.1731253407930852,0.16789310719759318
1965-01-01,0.1351213306071992,0.16908136944516836,0.1788132919155181,0.1723240321712852,0.1746766044209511,0.169983371439878
1965-02-01,0.15008711154377657,0.16702338094947816,0.17211507634011153,0.171966642813575,0.17033928888003505,0.16846849947302373
1965-03-01,0.13073019460440677,0.1703044679987332,0.1816968234995731,0.17286439576884105,0.174614017103328,0.16979010102511788
1965-04-01,0.14385042336021372,0.16903183346119297,0.17445803696568954,0.17596431813693042,0.17073311708922073,0.16596227098675256
1965-05-01,0.1400221082197748,0.16987194392919955,0.17606608967860485,0.1715387568122171,0.17362967341474272,0.1688714279454609
1965-06-01,0.1434770394438663,0.16966625557754614,0.17350454019905281,0.17539307781011707,0.17118471764899632,0.16677436932042133
1965-07-01,0.14260376854672605,0.16330668776462923,0.17845643881695825,0.17190420916008076,0.16945942063584035,0.17426947507576543
1965-08-01,0.1522503203728869,0.16832258873128583,0.16998514342926052,0.17217082358579935,0.1707598037146609,0.16651132016610634
1965-09-01,0.14079368423692484,0.17139551734630393,0.1771592889882498,0.17161726667093602,0.17340399486874755,0.16563024788883798
1965-10-01,0.13201271073751777,0.16978166357369895,0.1827925466903191,0.17316595708403654,0.17253916390300272,0.16970795801142496
1965-11-01,0.13176339466720116,0.1704213876594474,0.17957017374560771,0.17443397952306322,0.17382447313035432,0.16998659127432622
1965-12-01,0.12991158659243865,0.17239120542969927,0.18244201229223064,0.17447504650000628,0.17396675572151643,0.16681339346410887
1966-01-01,0.139122515625486,0.16576484949859382,0.17741255920599414,0.1725392493813025,0.17268578128321793,0.17247504500540567
