date,bl_lo_2,bl_lns_2,bl_lo_3,bl_lns_3,bl_lo_4,bl_lns_4
2005-02-01,0.018018468261439876,0.041738096829553865,0.008405510254738588,0.03472829296163206,0.005744951078992983,0.02854699687632291
2005-03-01,0.07522654085101062,0.08496311917940182,0.07626173592518619,0.10208834921283132,0.07357345099776477,0.10003634855066525
2005-04-01,-0.0030097914728257073,0.011781980479869015,-0.004511933088659949,0.007977339485821583,-0.006881253626877742,0.005089958564100889
2005-05-01,-0.05072112084492571,-0.059686954753910275,-0.04987900215630665,-0.0649808673992924,-0.04131911911961007,-0.04931563665952568
2005-06-01,0.009799220281876905,-0.03013987769134656,0.010810970104134444,-0.03167675003379136,0.013841425103727217,-0.029971940203881865
2005-07-01,0.014145423372476876,0.022804387360612237,0.01302952351951364,0.02292406851201442,0.013642934041629426,0.028478618126495464
2005-08-01,0.03744887291330048,0.016480966192619278,0.035934774573971984,0.01703971630652946,0.04151289594075172,0.025574788729176196
2005-09-01,0.021780968389862654,0.029807935988016718,0.01629568472470477,0.023267225449650045,0.019760801533508107,0.025348547461877587
2005-10-01,0.014677274992142955,0.01700669491358333,0.018668697387764156,0.02261870826749198,0.01663311368403521,0.02155301237658535
2005-11-01,-0.03647874544990429,-0.042528103321878355,-0.04769325408481575,-0.05679815033902468,-0.050654662036299945,-0.06169975343043057
2005-12-01,0.036467607870978164,0.025892210159280032,0.03554589987597464,0.028360420288194473,0.03957535948969819,0.03980198942574793
2006-01-01,0.020620030373693247,0.030389592730137333,0.021635664450401854,0.02962796652828512,0.02175485524410788,0.031857424612535025
2006-02-01,0.034260062700434746,0.03608170384042989,0.03200206641756042,0.033014321557839905,0.029870557445415086,0.031282426913895975
2006-03-01,-0.02494524179760952,-0.0330251031390425,-0.021157712662750024,-0.026291699743906688,-0.01770654504189288,-0.021270487191606128
2006-04-01,0.02412522290929894,0.028426914519681754,0.014657389395846222,0.016244150976831535,0.013575112665673671,0.015188821856144492
2006-05-01,0.032903034225183966,0.04291622826664816,0.03232074585651517,0.041213533395686765,0.03411716086014269,0.04056921977301654
2006-06-01,-0.03283864377898453,-0.03320836673033677,-0.029865823630125354,-0.030251552398344154,-0.02925244264131024,-0.02956268807343611
2006-07-01,0.017180020589898638,0.0221896278262376,0.013249409195133488,0.016310606763387834,0.015333951520364625,0.01708185166051785
2006-08-01,-0.003553116794109226,-0.0059701301542193835,0.006994921345689243,0.010833560537360253,-0.004433583722075648,-0.005526830748037458
2006-09-01,-0.013367802482892823,-0.0022029620419293803,-0.002281045210310139,0.010629199624671556,0.00021868705755581267,0.015155039420139231
2006-10-01,-0.03120453905502024,-0.028813957699083192,-0.028187899516252935,-0.026455311287589767,-0.020409967241279792,-0.013117589025882496
2006-11-01,0.032326736064191314,0.0339361231474297,0.036819010887728695,0.04084550580590248,0.03627657352548209,0.04479269811126184
2006-12-01,0.04592644827192188,0.04950593418573946,0.050485837784539515,0.051211851617765425,0.04860520961753781,0.04965514789735849
2007-01-01,-0.02461229268599859,-0.022258998600357176,-0.02027252174722563,-0.013981018349338877,-0.011942251274951467,-0.002391646030250083
2007-02-01,0.012962868470505111,0.01808960103670581,0.02449975428246629,0.029024928248918648,0.025952777419983926,0.0323193007915736
2007-03-01,0.0026153901268511407,-0.0043856902411101425,0.004760189664957833,-0.004390612321493175,0.00036159054783772306,-0.011970743340732996
2007-04-01,0.05265243863966051,0.05198647051104542,0.05141228309976262,0.051318866460454825,0.05186863777764049,0.05093667892729907
2007-05-01,0.028938343307347767,0.03651253544709983,0.02705243762446445,0.03812308476626202,0.03534972453665103,0.04911997452118025
2007-06-01,0.03175540677379555,0.03365069470367099,0.04599372113944588,0.05010937466189564,0.053336873993351505,0.05671853126795977
2007-07-01,0.009215267222744373,0.007236902354992649,0.0002315325382057569,-0.004458261362802967,0.0009236740001763572,-0.00577764312925899
2007-08-01,-0.02150236732153704,-0.02619615553784919,-0.026615291140594098,-0.031700895463642166,-0.02391785969134793,-0.03488005347310988
2007-09-01,0.018907242511747267,0.02337844773642321,0.016127878983873193,0.020646901756556632,0.015683313849804845,0.019080836013844575
2007-10-01,0.04396631444918956,0.04761220270725378,0.05396723804584601,0.05667699418136936,0.06329887566702498,0.059733633235930096
2007-11-01,-0.0015803316737628395,0.0019820748326323558,-0.004364871631867455,-0.0022515154633790005,-0.011547901413226813,-0.01168969392022405
2007-12-01,0.007896407843303926,0.00011201967275810987,0.0019055305655972681,-0.010097494941045464,-0.0012341829632332873,-0.007730719804106679
