date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2007-05-01,0.0,0.20123455679785401,0.299536067822407,0.23309433144296746,0.0,0.0,0.0,0.2661350439367717,0.0,0.0
2007-06-01,0.0,0.19604008861848757,0.29855747401430816,0.23920688393841402,0.0,0.0,0.0,0.26619555342879025,0.0,0.0
2007-07-01,0.0,0.20697804831622865,0.3042211359927096,0.23707116915607382,0.0,0.0,0.0,0.2517296465349879,0.0,0.0
2007-08-01,0.0,0.2099183520489024,0.3153736869408482,0.22892950480083393,0.0,0.0,0.0,0.24577845620941555,0.0,0.0
2007-09-01,0.0,0.21230971476737906,0.3302037130935864,0.20832529719977635,0.0,0.0,0.0,0.24916127493925813,0.0,0.0
2007-10-01,0.0,0.20829742443533616,0.33194535865269803,0.2112775319543792,0.0,0.0,0.0,0.2484796849575868,0.0,0.0
2007-11-01,0.0,0.21670433003577777,0.3290318242111018,0.20979711388038413,0.0,0.0,0.0,0.24446673187273632,0.0,0.0
2007-12-01,0.0,0.21968034747878662,0.33304591887554025,0.18510366331388978,0.0,0.0,0.0,0.26217007033178336,0.0,0.0
2008-01-01,0.0,0.21230638856850328,0.32847433146061317,0.0,0.0,0.0,0.18643875955909778,0.27278052041178563,0.0,0.0
2008-02-01,0.0,0.21296834392713543,0.34471909399270495,0.0,0.0,0.0,0.17706797669417093,0.26524458538598866,0.0,0.0
2008-03-01,0.0,0.22535887572026506,0.33474573431771176,0.0,0.0,0.0,0.17367791770336075,0.26621747225866244,0.0,0.0
2008-04-01,0.0,0.22958069374312845,0.3527884563089504,0.0,0.0,0.0,0.17233374987411082,0.24529710007381034,0.0,0.0
2008-05-01,0.0,0.2253934054491045,0.3411832926838174,0.0,0.0,0.0,0.18378407750782177,0.2496392243592564,0.0,0.0
2008-06-01,0.0,0.2227124407522472,0.34517037658928396,0.0,0.0,0.0,0.1777861797251078,0.2543310029333612,0.0,0.0
2008-07-01,0.0,0.22741724817191533,0.34962200365786444,0.0,0.0,0.0,0.17264789814775944,0.2503128500224608,0.0,0.0
2008-08-01,0.0,0.2145391723008796,0.3692650899910212,0.0,0.0,0.0,0.1552688136488433,0.26092692405925577,0.0,0.0
2008-09-01,0.0,0.22612341931663926,0.34729234749686816,0.0,0.0,0.0,0.1817583061444716,0.244825927042021,0.0,0.0
2008-10-01,0.0,0.21958069176571732,0.3330041609643017,0.0,0.0,0.0,0.19993679648447898,0.24747835078550204,0.0,0.0
2008-11-01,0.0,0.19573374338942826,0.3447573166779404,0.0,0.0,0.0,0.22263972296771256,0.23686921696491872,0.0,0.0
2008-12-01,0.0,0.0,0.35421272067345694,0.0,0.0,-0.213662398038782,0.1937886378501324,0.23833624343762874,0.0,0.0
2009-01-01,-0.1744160504566064,0.0,0.3311284984612443,0.0,0.0,-0.26472967104111966,0.0,0.22972578004102956,0.0,0.0
2009-02-01,0.0,0.0,0.35173377187902716,0.0,0.0,-0.2108666935460195,0.18694454720545245,0.25045498736950095,0.0,0.0
2009-03-01,-0.1498993706074272,0.0,0.34565483367782535,0.0,0.0,-0.2457169561963854,0.0,0.2587288395183621,0.0,0.0
2009-04-01,-0.22629591209790742,0.0,0.2844321759845873,-0.20973222209699807,0.0,-0.2795396898205071,0.0,0.0,0.0,0.0
2009-05-01,-0.1545555607957342,0.0,0.3709326718976155,0.0,0.0,-0.24947753614033338,0.0,0.22503423116631696,0.0,0.0
2009-06-01,0.0,0.1836262525871261,0.38067324508597494,0.0,0.0,-0.2057806326154178,0.0,0.2299198697114811,0.0,0.0
2009-07-01,0.0,0.19829667133297144,0.390196194817687,0.0,0.0,0.0,0.18043172509439281,0.2310754087549487,0.0,0.0
2009-08-01,0.0,0.0,0.36934561635935875,0.0,0.0,-0.18239424401235033,0.18848524028868258,0.25977489933960846,0.0,0.0
2009-09-01,0.0,0.20868462631399162,0.35086819132854186,0.0,0.0,0.0,0.1945934487536692,0.24585373360379734,0.0,0.0
2009-10-01,0.0,0.20077228411354753,0.3496334084665498,0.0,0.0,0.0,0.20087683234352943,0.24871747507637315,0.0,0.0
2009-11-01,0.0,0.20190470660087226,0.3476823590868829,0.0,0.0,0.0,0.21045847912226703,0.2399544551899778,0.0,0.0
2009-12-01,0.0,0.19505872658722223,0.3567236758586879,0.0,0.0,0.0,0.2226064651674602,0.22561113238662966,0.0,0.0
2010-01-01,0.0,0.20886446017572008,0.3354672117326269,0.0,0.0,0.0,0.22296324389776484,0.23270508419388822,0.0,0.0
2010-02-01,0.0,0.21203808403519572,0.3339996962585492,0.0,0.0,0.0,0.21305523157673514,0.24090698812951997,0.0,0.0
2010-03-01,0.0,0.20143798368294485,0.3414637725024156,0.0,0.0,0.0,0.22078137835780184,0.23631686545683755,0.0,0.0
2010-04-01,0.0,0.20294786341380822,0.33631518973830243,0.0,0.0,0.0,0.23145037756432202,0.2292865692835674,0.0,0.0
2010-05-01,0.0,0.2116652973395551,0.3268146160805516,0.0,0.0,0.0,0.23524410788831934,0.2262759786915739,0.0,0.0
2010-06-01,0.0,0.20570433655015968,0.3328775497964199,0.0,0.0,0.0,0.22768848647450043,0.23372962717892,0.0,0.0
2010-07-01,0.0,0.20151960543342445,0.33160244258148924,0.0,0.0,0.0,0.23567749405851127,0.23120045792657506,0.0,0.0
2010-08-01,0.0,0.19188151723384883,0.33550784849031384,0.0,0.0,0.0,0.22978438419260425,0.24282625008323305,0.0,0.0
2010-09-01,0.0,0.20524954300144957,0.3198950905704344,0.0,0.0,0.0,0.22910043623771517,0.2457549301904008,0.0,0.0
2010-10-01,0.0,0.20214892135494786,0.313277982697481,0.0,0.0,0.0,0.22764865037315168,0.2569244455744195,0.0,0.0
2010-11-01,0.0,0.20528711494868798,0.31345098261027066,0.0,0.0,0.0,0.23407539592908944,0.24718650651195184,0.0,0.0
2010-12-01,0.0,0.21001030281215316,0.31412087667067695,0.0,0.0,0.0,0.23797434067287807,0.23789447984429168,0.0,0.0
2011-01-01,0.0,0.2133623362837621,0.3249585862297215,0.0,0.0,0.0,0.23351126185098822,0.22816781563552824,0.0,0.0
2011-02-01,0.0,0.2193343157012201,0.32314187151034823,0.0,0.0,0.0,0.23309070958083086,0.22443310320760068,0.0,0.0
2011-03-01,0.0,0.21856476440915015,0.33223602085901754,0.0,0.0,0.0,0.22420955095452144,0.22498966377731086,0.0,0.0
2011-04-01,0.0,0.21195439759301035,0.3382891914623457,0.0,0.0,0.0,0.2284877041249249,0.22126870681971916,0.0,0.0
2011-05-01,0.0,0.2143205460560305,0.3352904312549839,0.0,0.0,0.0,0.2303223157086658,0.22006670698031983,0.0,0.0
2011-06-01,0.0,0.21052426879433786,0.32458001281318266,0.0,0.0,0.0,0.241242652909728,0.22365306548275143,0.0,0.0
2011-07-01,0.0,0.202615471407131,0.31757248699250423,0.0,0.0,0.0,0.24970085183566826,0.23011118976469652,0.0,0.0
2011-08-01,0.0,0.20735777683133677,0.316303305097259,0.0,0.0,0.0,0.2429599876229673,0.23337893044843697,0.0,0.0
2011-09-01,0.0,0.2024402277055368,0.32485789790137026,0.0,0.0,0.0,0.2393646626268943,0.23333721176619857,0.0,0.0
2011-10-01,0.0,0.1924181938088332,0.31132276441587936,0.0,0.0,0.0,0.2497225692817312,0.24653647249355629,0.0,0.0
2011-11-01,0.0,0.1690802823484412,0.3017346898618981,0.0,0.0,0.0,0.25880562512569943,0.2703794026639612,0.0,0.0
2011-12-01,0.0,0.18598090225975916,0.30639033161342205,0.0,0.0,0.0,0.2505371206281456,0.2570916454986732,0.0,0.0
2012-01-01,0.0,0.18345912182048948,0.3034156833501674,0.0,0.0,0.0,0.25691606434781905,0.2562091304815241,0.0,0.0
2012-02-01,0.0,0.1818642120650592,0.2997181053798175,0.0,0.0,0.0,0.26195423275206386,0.25646344980305946,0.0,0.0
2012-03-01,0.0,0.1966752590644002,0.29676767508161406,0.0,0.0,0.0,0.2572382421298636,0.24931882372412215,0.0,0.0
2012-04-01,0.0,0.19144553481608395,0.30180359656507827,0.0,0.0,0.0,0.2614322380933509,0.24531863052548683,0.0,0.0
2012-05-01,0.0,0.19038870876543362,0.2906659910388419,0.0,0.0,0.0,0.27188841958655263,0.24705688060917205,0.0,0.0
2012-06-01,0.0,0.18723600350805109,0.2899467047987185,0.0,0.0,0.0,0.27083786802711746,0.251979423666113,0.0,0.0
2012-07-01,0.0,0.1783258353541256,0.2775244543665828,0.0,0.0,0.0,0.2761205173514246,0.268029192927867,0.0,0.0
2012-08-01,0.0,0.17963396383145883,0.2742051368106147,0.0,0.0,0.0,0.2795713494673584,0.2665895498905681,0.0,0.0
2012-09-01,0.0,0.17542611356880483,0.2791967114138361,0.0,0.0,0.0,0.27984561850388856,0.26553155651347043,0.0,0.0
2012-10-01,0.0,0.17769891277822863,0.2825407766801841,0.0,0.0,0.0,0.28280852211422913,0.2569517884273581,0.0,0.0
2012-11-01,0.0,0.1828453865361022,0.2833725574821993,0.0,0.0,0.0,0.2820826388981492,0.2516994170835493,0.0,0.0
2012-12-01,0.0,0.18357445548462134,0.282053126798625,0.0,0.0,0.0,0.27810827250425957,0.2562641452124941,0.0,0.0
2013-01-01,0.0,0.18273668357383965,0.28214976388501,0.0,0.0,0.0,0.28700426348130714,0.24810928905984328,0.0,0.0
2013-02-01,0.0,0.19043102472307882,0.28046536902474767,0.0,0.0,0.0,0.2814932329678258,0.24761037328434765,0.0,0.0
2013-03-01,0.0,0.18813227230700635,0.28156968869751886,0.0,0.0,0.0,0.28322602415752784,0.24707201483794689,0.0,0.0
2013-04-01,0.0,0.1820158469131195,0.2782370551409039,0.0,0.0,0.0,0.2892043183311997,0.2505427796147769,0.0,0.0
2013-05-01,0.0,0.0,0.2717322289442204,0.0,0.0,0.0,0.29164936725286245,0.2533921453579634,0.18322625844495366,0.0
2013-06-01,0.0,0.0,0.26197350679256715,0.0,0.0,0.0,0.29423658411415116,0.2604207755399577,0.18336913355332396,0.0
2013-07-01,0.0,0.0,0.27304705699039233,0.0,0.0,0.0,0.2940843833324736,0.2401433465044632,0.19272521317267077,0.0
2013-08-01,0.0,0.0,0.2710404370988778,0.0,0.0,0.0,0.2943227888159509,0.24058991700452215,0.0,0.19404685708064912
2013-09-01,0.0,0.0,0.26676075533143745,0.0,0.0,0.0,0.2918467211928407,0.24311211253397896,0.1982804109417428,0.0
2013-10-01,0.0,0.0,0.2769160272067958,0.0,0.0,0.0,0.2875152194993525,0.23597876098260817,0.19958999231124352,0.0
2013-11-01,0.0,0.0,0.2734827045232698,0.0,0.0,0.0,0.28666083379687346,0.23660462366473078,0.20325183801512597,0.0
