date,Regime_0,Regime_1,Regime_2,Regime_3,Regime_4,Regime_5
1959-12-01,0.01988488714216095,0.19230453374423487,0.22026039277407722,0.18172814010127503,0.20580129219450014,0.18002075404375176
1960-01-01,0.021083594936499802,0.1913914307218812,0.21941718405471905,0.18087559621696714,0.20741780157633366,0.17981439249359907
1960-02-01,0.11089581405712962,0.17735946035393682,0.17400766780904323,0.20111056259336035,0.17217190739953034,0.16445458778699967
1960-03-01,0.4075351309320237,0.12082979018008898,0.10596630294649849,0.12845037405185195,0.12312069238608579,0.11409770950345109
1960-04-01,0.0829135607281506,0.1813547780266252,0.18817568838191306,0.20026411282180331,0.17874543457279682,0.16854642546871107
1960-05-01,0.3424912347778451,0.1325129486986888,0.1173505602378352,0.13298939921289124,0.13741425020568276,0.1372416068670569
1960-06-01,0.4858484414972989,0.10558126765198748,0.09061916336302762,0.11317770661202504,0.10296931755781051,0.1018041033178503
1960-07-01,0.3880759927755769,0.12644464256937082,0.11114296305671727,0.1303001160770026,0.1257644018137772,0.11827188370755502
1960-08-01,0.2922067447351977,0.14455392508519263,0.13213110060465513,0.1536547294472417,0.14308111483505714,0.13437238529265577
1960-09-01,0.3779120404610668,0.12363526761417575,0.11615132900304333,0.13410111753163342,0.12500573547164695,0.12319450991843359
1960-10-01,0.38025298755082365,0.13358606468486484,0.11236016637403796,0.12853143128684674,0.13208672016849365,0.11318262993493323
1960-11-01,0.4682524430122227,0.10958272538570021,0.09365899356450137,0.11715901038162978,0.10480983218142509,0.10653699547452097
1960-12-01,0.47375034280043776,0.11029035300043888,0.09228930831117912,0.11149858659743117,0.10731143945976836,0.10485996983074455
1961-01-01,0.30683320363762573,0.13887683139433754,0.13114155273834507,0.14237285230798577,0.14311190786939526,0.13766365205231063
1961-02-01,0.37125122285299583,0.13348348670745538,0.11578537487761353,0.12683609911691712,0.13282493815265575,0.11981887829236233
1961-03-01,0.08825392167815292,0.1727170150510911,0.1995871439206462,0.18311040646877974,0.1781909955362678,0.17814051734506212
1961-04-01,0.12816131178266135,0.17093622573565118,0.17679714265279095,0.1620273391136802,0.19018356585938434,0.17189441485583198
1961-05-01,0.03187535363859473,0.1888280859952839,0.22334316106028274,0.18553075512419334,0.19978166618431611,0.17064097799732925
