date,Next_Regime_0,Next_Regime_1,Next_Regime_2,Next_Regime_3,Next_Regime_4,Next_Regime_5
1959-12-01,0.22219816264213402,0.16577212606043523,0.20898510420188102,0.1939631758741348,0.10420887019034793,0.10487256103106668
1960-01-01,0.2234512219984876,0.16535895511741022,0.20854465233242664,0.19323501670495366,0.10456654163758551,0.10484361220913606
1960-02-01,0.261791959979046,0.15860403007636248,0.19195494822562548,0.18675318590313822,0.10138364191252872,0.09951223390329887
1960-03-01,0.41166349253197915,0.12261274708425372,0.14365077507173465,0.12852593602780257,0.10683942841885806,0.08670762086537155
1960-04-01,0.24804448881373736,0.16107350418931066,0.1979105827188325,0.190887983443162,0.10143567588051901,0.10064776495443833
1960-05-01,0.38203337982014685,0.13175515750051872,0.1506326639301023,0.13662130718232887,0.10761364998020158,0.09134384158670143
1960-06-01,0.4485886082470614,0.11387309456003818,0.1321261911117514,0.11548366078885068,0.10707776739523116,0.08285067789706672
1960-07-01,0.4018735678434239,0.12536563968582476,0.14657358896523598,0.13173172154826313,0.10649190756653694,0.08796357439071491
1960-08-01,0.35397163430008727,0.1368426865849567,0.1618781443791034,0.15018887543509735,0.10496086378417029,0.09215779551658476
1960-09-01,0.395920092892456,0.12650180668987412,0.14895277414452024,0.13447410214462865,0.1062937002661423,0.08785752386237826
1960-10-01,0.39924389030418467,0.12570420917405092,0.14772121383561923,0.1319797439987391,0.10656262087950111,0.08878832180790477
1960-11-01,0.4396307534082797,0.11649747370235865,0.1344951478134021,0.1187948409124908,0.1067127604992454,0.08386902366422329
1960-12-01,0.44371098361959355,0.11558499610724204,0.1330571159583496,0.11614681244354222,0.10738822119222702,0.08411187067904517
1961-01-01,0.3629308948342283,0.13500681238316303,0.15871259281269656,0.14482540971028227,0.10645816106807485,0.09206612919155477
1961-02-01,0.39504829173501266,0.1272168440656314,0.14865411395909492,0.13265797732378146,0.10688858224131308,0.08953419067516627
1961-03-01,0.2517078931910207,0.1599984061839961,0.1979121534919099,0.1863881680661102,0.10324565924563872,0.10074771982132401
1961-04-01,0.27966111946215905,0.15464479493125788,0.18571541178059423,0.1712953314547471,0.10720439788822284,0.10147894448301874
1961-05-01,0.2253931167594,0.16334884911867034,0.2103251126524686,0.19509070583045446,0.10299074653069071,0.10285146910831573
1961-06-01,0.21776973077890946,0.16526369587553313,0.2131946925290079,0.19870892458555947,0.10260923051712727,0.10245372571386249
1961-07-01,0.25199580528702953,0.15963759054805574,0.19665213041731583,0.18578985379484855,0.10375605041371438,0.10216856953903573
1961-08-01,0.21776587896854693,0.1668534603343831,0.21138977193261835,0.19752220075226348,0.10320364369434205,0.10326504431784589
1961-09-01,0.3223727832487934,0.1452132695303429,0.17135088790182026,0.16235976657731221,0.10356909042063307,0.09513420232109777
1961-10-01,0.2211776947646816,0.16564040820605952,0.20988809507429698,0.1947381007705198,0.10458887691893766,0.1039668242655042
1961-11-01,0.21555333405746832,0.16534516959879425,0.2143427547651689,0.19822873140765288,0.10344993420697782,0.10308007596393763
1961-12-01,0.22978701456209966,0.16555992334220143,0.2045603741895093,0.1930052928151026,0.10292266078928099,0.10416473430180585
1962-01-01,0.3310711469187457,0.14270127635286908,0.16869392650665738,0.15962214121037083,0.10379385593621378,0.09411765307514305
1962-02-01,0.21526817458539008,0.16558257734931459,0.21385647355742926,0.20096161098443482,0.1018941266954497,0.10243703682798133
1962-03-01,0.2385034814344774,0.16434634504852522,0.1999657773711569,0.19035013374441598,0.10376418956692261,0.10307007283450169
1962-04-01,0.22193950756587766,0.16578270173108733,0.20822949743667551,0.20119177332687618,0.10128944561925642,0.10156707432022682
1962-05-01,0.2885515486715883,0.153091681440673,0.18205064006447463,0.174149086814531,0.10376663055327898,0.098390412455454
1962-06-01,0.32684055350777735,0.1441492605664367,0.16919123896728272,0.16111055840698385,0.10444252157052346,0.09426586698099566
1962-07-01,0.23445082232129105,0.16513868386243546,0.2013994724677782,0.1897946686952071,0.10474018941486188,0.104476163238426
1962-08-01,0.2695948971082745,0.15660456304377215,0.1899314118323289,0.1825714870296409,0.1014821123127329,0.0998155286732503
1962-09-01,0.23061629230932548,0.16550586752053287,0.2038114840541958,0.19466344843941602,0.10103292767253831,0.10436998000399138
1962-10-01,0.2910744814699761,0.15539561544888802,0.17805321487995934,0.17104463602375847,0.10594366075841302,0.09848839141900471
1962-11-01,0.2558092025735239,0.16127434176856598,0.19329814287424682,0.18355736637038736,0.10257566668812362,0.10348527972515206
1962-12-01,0.29104212086567754,0.15376424132431682,0.1803325255232884,0.1722242494274518,0.10383270663967278,0.0988041562195924
