date,Next_Regime_0,Next_Regime_1,Next_Regime_2,Next_Regime_3,Next_Regime_4,Next_Regime_5
1959-12-01,0.03532687731469861,0.16538312361731303,0.19373765497803072,0.13891151373053162,0.2380716738647158,0.22856915649471016
1960-01-01,0.035370650991881435,0.16542893795450933,0.19503191010658036,0.13888250182713247,0.237399138784576,0.2278868603353202
1960-02-01,0.024067191082651738,0.17569696812787883,0.1938687773415449,0.13997771575547258,0.24065235298904145,0.22573699470341058
1960-03-01,0.049479213987004354,0.18840300715209166,0.19307464837634913,0.13471751552551994,0.22567586793348893,0.20864974702554603
1960-04-01,0.05202229145372716,0.177080159871256,0.1898200410799263,0.13624617723199273,0.23005702444420845,0.21477430591888938
1960-05-01,0.03237966247917177,0.18048761858534,0.19800530521818577,0.13792033329412975,0.23421968044175978,0.21698739998141306
1960-06-01,0.024779213012167005,0.19088740260150047,0.1988573686275219,0.13674545707685412,0.23293719957776185,0.21579335910419478
1960-07-01,0.02411878278917987,0.18644808565903104,0.1996279047850248,0.137383681033586,0.2337472281139566,0.2186743176192216
1960-08-01,0.02256085569902548,0.18339121850857273,0.19580221191096348,0.13784514098247622,0.23669283676551037,0.2237077361334516
1960-09-01,0.024950329804101924,0.18699707886495365,0.19962010130224625,0.13641079467693865,0.2333017676727826,0.218719927678977
1960-10-01,0.028278364300021768,0.18734313644586065,0.19779239274320656,0.13700404941737188,0.2312866743758115,0.21829538271772753
1960-11-01,0.03296594696895112,0.18940402250843788,0.1951107064353504,0.13658934309284568,0.23235473399588255,0.2135752469985325
1960-12-01,0.045132021073211175,0.1904600871067337,0.19304840377466817,0.13494489609867216,0.22698647488859008,0.20942811705812478
1961-01-01,0.027809902378598924,0.18339302968428267,0.19895206833325757,0.13707870343808087,0.23410003996659892,0.21866625619918104
1961-02-01,0.02421441703441849,0.1858852419884756,0.19862074615772066,0.13698086444825397,0.2331665915260578,0.22113213884507357
1961-03-01,0.022900968511991318,0.17585966777228995,0.1957985480481205,0.13750942179162964,0.23942926141134388,0.22850213246462478
